epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.4917799234390259,0.7523364424705505,0.47977033257484436,0.7886424660682678
2,0.3598962128162384,0.8415983319282532,0.4200340211391449,0.8316532373428345
3,0.3201409876346588,0.8682052493095398,0.3809453845024109,0.8514785170555115
4,0.2951815128326416,0.883749783039093,0.3505336046218872,0.867943525314331
5,0.27131369709968567,0.8925233483314514,0.3193659782409668,0.8763440847396851
6,0.2503763735294342,0.8989128470420837,0.2931068539619446,0.8807123899459839
7,0.22771088778972626,0.9119778871536255,0.2389354705810547,0.9129704236984253
8,0.19317680597305298,0.9282853603363037,0.24704471230506897,0.8971773982048035
9,0.1830642968416214,0.9311462640762329,0.19502025842666626,0.9233871102333069
10,0.1654069572687149,0.9387755393981934,0.18222546577453613,0.9297714829444885
11,0.15980136394500732,0.9411596655845642,0.15306204557418823,0.9519489407539368
12,0.14666229486465454,0.9475491046905518,0.14173626899719238,0.9526209831237793
13,0.1425086408853531,0.9472630023956299,0.14095449447631836,0.9556451439857483
14,0.13695195317268372,0.9524127244949341,0.16292479634284973,0.9381720423698425
15,0.13261641561985016,0.952698826789856,0.12842927873134613,0.9593414068222046
16,0.12512317299842834,0.9559412598609924,0.1297750025987625,0.9526209831237793
17,0.1246367022395134,0.9567995667457581,0.12881694734096527,0.9519489407539368
18,0.12119580060243607,0.9567041993141174,0.12486177682876587,0.9556451439857483
19,0.1192280724644661,0.9565134644508362,0.11296520382165909,0.9637096524238586
20,0.11556581407785416,0.9590883255004883,0.12231049686670303,0.9546371102333069
21,0.11678186058998108,0.9591836929321289,0.13565443456172943,0.9522849321365356
22,0.11556043475866318,0.9593744277954102,0.1675967127084732,0.9287634491920471
23,0.11072345077991486,0.9616631865501404,0.13745582103729248,0.948924720287323
24,0.10943961888551712,0.9611863493919373,0.10646340250968933,0.9650537371635437
25,0.1095946729183197,0.9611863493919373,0.10744849592447281,0.9613575339317322
26,0.10392933338880539,0.9621400237083435,0.11069072037935257,0.9606854915618896
27,0.10577543824911118,0.96233069896698,0.12554872035980225,0.9539650678634644
28,0.10279183089733124,0.9629982709884644,0.10688517987728119,0.9647177457809448
29,0.10204406082630157,0.9618539214134216,0.12449507415294647,0.9549731016159058
30,0.10085581988096237,0.9644287824630737,0.1024874746799469,0.9643816947937012
31,0.09999361634254456,0.9624260663986206,0.10329882055521011,0.9637096524238586
32,0.09358076006174088,0.9666221737861633,0.10168727487325668,0.9643816947937012
33,0.0950305312871933,0.9662407040596008,0.09262584149837494,0.9670698642730713
34,0.0969410166144371,0.965191662311554,0.09835948050022125,0.9633736610412598
35,0.09331261366605759,0.9664314389228821,0.11246201395988464,0.9593414068222046
36,0.09384527057409286,0.9666221737861633,0.12994781136512756,0.9549731016159058
37,0.0912165492773056,0.9641426801681519,0.09117987751960754,0.9667338728904724
38,0.08973455429077148,0.9662407040596008,0.10132034122943878,0.9613575339317322
39,0.09125474095344543,0.9672897458076477,0.09259393066167831,0.9677419066429138
40,0.08787381649017334,0.9668129086494446,0.10340075194835663,0.9623655676841736
